Company,ticker,Portfolio percent,Price,Change,Change percentage,Volume,MarketCap,P/ETail,P/Efuture,EarningsPerShare(trailing),EarningsPerShare(future),DividendYield,Dividend
Microsoft Corp,MSFT,7.24%,   407.24,0.68,(0.17%),"1,306,441",3020.92B,36.77,30.42,11.06,13.36,,
Apple Inc.,AAPL,6.40%,   183.75,-0.11,(-0.06%),"1,283,686",2839.15B,28.61,25.77,6.43,7.13,,
Nvidia Corp,NVDA,4.34%,   739.32,12.74,(1.75%),"1,792,998",1794.65B,95.94,33.10,7.57,21.95,,
Amazon.com Inc,AMZN,3.70%,   168.74,-1.06,(-0.62%),"492,713",1763.78B,58.76,31.63,2.89,5.37,,
"Meta Platforms, Inc. Class A",META,2.50%,   477.42,-6.61,(-1.37%),"518,141",1233.99B,32.49,20.86,14.90,23.20,,
Alphabet Inc. Class A,GOOGL,2.05%,   142.94,0.17,(0.12%),"1,488,454",1775.06B,24.59,18.22,5.81,7.84,,
Alphabet Inc. Class C,GOOG,1.74%,   144.22,0.28,(0.20%),"344,227",1789.61B,24.80,18.37,5.81,7.84,,
Berkshire Hathaway Class B,BRK.B,1.73%,   404.08,0.63,(0.16%),"11,494",873.87B,11.47,22.66,35.16,17.80,,
Eli Lilly & Co.,LLY,1.44%,   773.85,16.07,(2.12%),"76,599",719.37B,130.64,42.10,5.80,18.00,,
Broadcom Inc.,AVGO,1.32%,"   1,262.57",-2.50,(-0.20%),"13,033",592.23B,38.41,22.65,32.94,55.86,,
"Tesla, Inc.",TSLA,1.24%,   201.69,1.24,(0.62%),"4,007,866",638.39B,46.58,47.40,4.30,4.23,,
Jpmorgan Chase & Co.,JPM,1.21%,   179.85,-0.02,(-0.01%),"13,861",520.01B,11.09,11.18,16.22,16.09,,
Unitedhealth Group Incorporated,UNH,1.14%,   522.04,1.16,(0.22%),"3,260",481.77B,21.84,16.62,23.85,31.35,,
Visa Inc.,V,1.05%,   280.68,-0.30,(-0.11%),"7,613",563.79B,32.85,25.17,8.55,11.16,,
Exxon Mobil Corporation,XOM,0.96%,   104.05,0.32,(0.31%),"168,042",414.58B,11.67,10.92,8.89,9.50,,
Mastercard Incorporated,MA,0.92%,   472.69,1.41,(0.30%),"2,516",440.18B,39.83,28.09,11.83,16.78,,
Johnson & Johnson,JNJ,0.89%,   156.55,-1.37,(-0.87%),"4,928",380.16B,28.32,14.36,5.58,11.00,,
